TXT_PARTS_NAME,count,Input Part,Recommended Part,Frequency
Tail Light Right,5352.0,,,
Tail Light Left,4535.0,,,
Dicky | Trunk Assembly,4221.0,,,
Bumper Front Assembly,3789.0,,,
Bracket 1,2621.0,,,
Bracket Front Bumper Right,1.0,,,
Door Front Right,1.0,,,
Door Rear Right,1.0,,,
Head Light Right,1.0,,,
Side Rear View Mirror Outer Assembly Right,1.0,,,
Bracket Front Bumper Right,1.0,,,
Bumper Front Assembly - IMT 23 (50%),1.0,,,
Corner Panel Assembly Front Right,1.0,,,
Door Front Right,1.0,,,
Door Rear Right,1.0,,,
Garnish Head Light Lower Right,1.0,,,
Head Light Right,1.0,,,
Head Light Right - IMT 23 (50%),1.0,,,
Side Rear View Mirror Outer Assembly Right,1.0,,,
Bumper Front Assembly,4242.0,,,
Bumper Rear Assembly,2626.0,,,
Head Light Left,1945.0,,,
Bracket 2,1914.0,,,
Head Light Right,1841.0,,,
Bracket Front Bumper Right,1.0,,,
Door Front Right,1.0,,,
Door Rear Right,1.0,,,
Side Rear View Mirror Outer Assembly Right,1.0,,,
Bumper Front Assembly,16821.0,,,
Fender Panel Front Right,11226.0,,,
Bonnet|Hood Assembly,8828.0,,,
Head Light Left,6419.0,,,
Hinge Bonnet|Hood Right,5264.0,,,
Bracket Front Bumper Right,1.0,,,
Door Front Right,1.0,,,
Door Rear Right,1.0,,,
Head Light Right,1.0,,,
Side Rear View Mirror Outer Assembly Right,1.0,,,
Bumper Front Assembly,11448.0,,,
Head Light Right,11222.0,,,
Bonnet|Hood Assembly,5425.0,,,
Fender Wheel Well Lining|Guard|Cover Right,4031.0,,,
Hinge Bonnet|Hood Right,3301.0,,,
Bracket Front Bumper Right,1.0,,,
Door Front Right,1.0,,,
Door Rear Right,1.0,,,
Side Rear View Mirror Outer Assembly Right,1.0,,,
Bracket Front Bumper Right,1.0,,,
Door Front Right,1.0,,,
Door Rear Right,1.0,,,
Head Light Right,1.0,,,
Side Rear View Mirror Outer Assembly Right,1.0,,,
Door Front Left,165.0,,,
Latch Front Left Door,159.0,,,
Door Rear Left,142.0,,,
Latch Rear Left Door,106.0,,,
Fender Panel Front Left,105.0,,,
Bracket Front Bumper Right,1.0,,,
Door Front Right,1.0,,,
Door Rear Right,1.0,,,
Head Light Right,1.0,,,
Side Rear View Mirror Outer Assembly Right,1.0,,,
,,Cover Engine Under Side Left,Bumper Front Assembly,11.0
,,Cover Engine Under Side Left,Grille Radiator Lower,9.0
,,Cover Engine Under Side Left,Grille Radiator Upper,9.0
,,Cover Engine Under Side Left,AC Condenser Assembly,8.0
,,Cover Engine Under Side Left,Radiator Assembly,8.0
,,Cover Engine Under Side Left,Bracket Front Bumper Right,1.0
,,Cover Engine Under Side Left,Door Front Right,1.0
,,Cover Engine Under Side Left,Door Rear Right,1.0
,,Cover Engine Under Side Left,Head Light Right,1.0
,,Cover Engine Under Side Left,Side Rear View Mirror Outer Assembly Right,1.0
